"TELEPHONIC_ADDRESS_ID","SITE_NAME","3"
"100110495",KITALE_MILIMANI_2G,350
"100121612",EKITALE_3G,2564
"100130031",KITALE_CBD_2G,
"100134763",KITALE_WAMUINI_4G,730
"100147780",KITALE_WAMUINI_2G,32
"100154641",KITALE_CBD_2G,186
"100157297",KITALE_CHETOTO_PRIMARY_2G,166
"100172532",KITALE_MILIMANI_2G,918
"100174843",KITALE_EAST_4G,2372
"100177290",KITALE_CHETOTO_PRIMARY_3G,160
"100181636",KITALE_LESSOS_3G,948
"100181977",KITALE_SIBANGA_4G,3716
"100182138",KITALE_WAMUINI_3G,30
"100182700",EKITALE_3G,222
"100192309",KITALE_SIBANGA_2G,40
"100192565",KITALE_LESSOS_4G,
"100194716",KITALE_NAMAWANGA_4G,1300
"100203690",KITALE_LESSOS_3G,
"100203738",KITALE_WAITALUK_2G,290
"100218601",KITALE_KAPTEGA_2G,1160
"100278067",KITALE_NAMAWANGA_2G,112
"100293215",KITALE_NAMAWANGA_2G,532
"100303608",KITALE_EAST_2G,1260
"100310694",KITALE_CBD_2G,80
"100310797",KITALE_LESSOS_2G,396
"100310995",KITALE_STADIUM_3G,0
"100311399",KITALE_WAMUINI_2G,268
"100321765",KITALE_NAMAWANGA_4G,2128
"100331462",KITALE_SIBANGA_3G,156
"100331951",KITALE_CBD_2G,504
"100331980",KITALE_NAMAWANGA_2G,136
"100347357",KITALE_CHETOTO_PRIMARY_2G,38
"100361276",KITALE_NAMAWANGA_4G,4576
"100366424",KITALE_KAPTEGA_2G,2
"100418034",EKITALE_2G,176
"100425095",KITALE_WAITALUK_4G,886
"100439624",KITALE_STADIUM_2G,254
"100440681",KITALE_NAMAWANGA_2G,0
"100441334",KITALE_SIBANGA_4G,842
"100449472",KITALE_CBD_2G,
"100458123",KITALE_SIBANGA_4G,1452
"100465838",KITALE_WAITALUK_3G,268
"100468867",KITALE_WAMUINI_2G,552
"100493514",KITALE_KAPTEGA_2G,36
"100511728",KITALE_STADIUM_3G,158
"100512904",KITALE_WAITALUK_3G,3272
"100514783",KITALE_STADIUM_4G,702
"100526474",KITALE_CBD_3G,5358
"100530570",KITALE_LESSOS_4G,62
"100533148",KITALE_CHETOTO_PRIMARY_2G,252
"100546141",KITALE_CBD_3G,78
"100551920",KITALE_CBD_2G,140
"100570754",EKITALE_2G,1252
"100575706",KITALE_SIBANGA_4G,26
"100575812",KITALE_SIBANGA_2G,398
"100576956",KITALE_WAITALUK_2G,
"100577481",KITALE_MILIMANI_2G,3168
"100592176",KITALE_SIBANGA_2G,494
"100604062",KITALE_STADIUM_3G,22
"100611328",KITALE_KAPTEGA_2G,336
"100611871",KITALE_KAPTEGA_2G,56
"100612152",KITALE_KAPTEGA_2G,22
"100623355",KITALE_STADIUM_3G,2478
"100628034",EKITALE_2G,
"100660925",KITALE_SIBANGA_4G,
"100661606",KITALE_MILIMANI_4G,36
"100664533",KITALE_KAPTEGA_2G,0
"100667300",KITALE_NAMAWANGA_2G,
"100667899",KITALE_LESSOS_2G,146
"100690460",KITALE_STADIUM_4G,1940
"100691988",KITALE_CBD_2G,40
"100702848",KITALE_NAMAWANGA_4G,1160
"100715055",EKITALE_3G,1104
"100716701",KITALE_SIBANGA_2G,292
"100728622",KITALE_NAMAWANGA_4G,418
"100732280",KITALE_SIBANGA_2G,0
"100735787",KITALE_MILIMANI_3G,64
"100749329",KITALE_SIBANGA_3G,504
"100750946",KITALE_MILIMANI_2G,322
"100751243",KITALE_CBD_2G,876
"100753641",KITALE_SIBANGA_2G,758
"100756939",EKITALE_2G,136
"100772768",KITALE_SIBANGA_2G,128
"100773835",KITALE_SIBANGA_2G,0
"100784004",KITALE_CHETOTO_PRIMARY_4G,430
"100801767",KITALE_WAMUINI_2G,90
"100824770",KITALE_CBD_4G,1754
"100826525",KITALE_CBD_2G,1056
"100831273",KITALE_MILIMANI_2G,550
"100861743",KITALE_SIBANGA_3G,508
"100876793",KITALE_NAMAWANGA_2G,440
